en,ru,de,es,fr
understand,понимаю,verstehen,entender,comprendre
understanding,понимание,verstehen,comprensión,compréhension
unfortunately,к сожалению,unglücklicherweise,desafortunadamente,malheureusement
uniform,униформа,uniform,uniforme,uniforme
union,союз,union,unión,syndicat
unique,уникальный,einzigartig,único,unique
unit,ед. изм,einheit,unidad,unité
united,юнайтед,vereinigt,unido,uni
universal,универсальный,universal,universal,universel
universe,вселенная,universum,universo,univers
university,университет,universität,universidad,université
unknown,неизвестный,unbekannt,desconocido,inconnu
unless,если не,es sei denn,a no ser que,sauf si
unlike,в отличие от,nicht wie,diferente a,contrairement à
unlikely,вряд ли,unwahrscheinlich,improbable,improbable
until,до,bis,hasta,jusqu'à
unusual,необычный,ungewöhnlich,raro,inhabituel
up,вверх,oben,arriba,haut
upon,на,auf,sobre,sur
upper,верхний,obere,superior,plus haut
urban,городской,städtisch,urbano,urbain
urge,призывают,drang,impulso,exhorter
us,нас,uns,nos,nous
use,использовать,benutzen,utilizar,utilisation
used,используемый,benutzt,usado,utilisé
useful,полезно,sinnvoll,útil,utile
user,пользователь,benutzer,usuario,utilisateur
usual,обычный,gewöhnlich,usual,habituel
usually,как правило,gewöhnlich,generalmente,d'habitude
utility,утилита,dienstprogramm,utilidad,utilitaire
vacation,отдых,ferien,vacaciones,vacances
valley,долина,tal,valle,vallée
valuable,ценный,wertvoll,valioso,de valeur
value,стоимость,wert,valor,valeur
variable,переменная,variable,variable,variable
variation,изменение,variation,variación,variation
variety,разнообразие,vielfalt,variedad,variété
various,различный,verschiedene,varios,divers
vary,изменяются,variieren,variar,varier
vast,подавляющее,groß,vasto,vaste
vegetable,растительное,gemüse,vegetal,légume
vehicle,средство передвижения,fahrzeug,vehículo,véhicule
venture,предприятие,wagen,riesgo,entreprise
version,версия,version,versión,version
versus,против,gegen,versus,contre
very,очень,sehr,muy,très
vessel,судно,schiff,buque,navire
veteran,ветеран,veteran,veterano,vétéran
via,с помощью,über,vía,via
victim,жертва,opfer,víctima,victime
victory,победа,sieg,victoria,la victoire
video,видео,video,vídeo,vidéo
view,посмотреть,aussicht,ver,vue
viewer,зритель,zuschauer,espectador,téléspectateur
village,деревня,dorf,pueblo,village
violate,нарушают,verletzen,violar,violer
violation,нарушение,verstoß,violación,violation
violence,насилие,gewalt,violencia,la violence
violent,неистовый,heftig,violento,violent
virtually,виртуально,virtuell,virtualmente,virtuellement
virtue,добродетель,tugend,virtud,vertu
virus,вирус,virus,virus,virus
visible,видимый,sichtbar,visible,visible
vision,видение,vision,visión,vision
visit,посещение,besuch,visitar,visite
visitor,посетитель,gast,visitante,visiteur
visual,визуальный,visuell,visual,visuel
vital,жизненно важно,lebenswichtig,vital,vital
voice,голос,stimme,voz,voix
volume,объем,volumen,volumen,le volume
volunteer,доброволец,sich freiwillig melden,voluntario,bénévole
vote,голос,abstimmung,votar,vote
voter,избиратель,wähler,votante,électeur
vs,против,vs,vs,contre
vulnerable,уязвимый,anfällig,vulnerable,vulnérable
wage,заработная плата,führen,salario,salaire
wait,подождите,warte ab,espere,attendez
wake,будить,aufwachen,despertar,réveiller
walk,ходить,gehen,caminar,marche
wall,стена,mauer,pared,mur
wander,странствовать,wandern,deambular,errer
want,хотеть,wollen,querer,vouloir
war,война,krieg,guerra,guerre
warm,тепло,warm,calentar,chaud
warn,предупредить,warnen,advertir,prévenir
warning,предупреждение,warnung,advertencia,attention
wash,мыть,waschen,lavar,lavage
waste,отходы,abfall,residuos,déchets
watch,смотреть,uhr,reloj,regarder
water,воды,wasser,agua,eau
wave,волна,welle,ola,vague
way,путь,weg,camino,façon
we,мы,wir,nosotros,nous
weak,слабый,schwach,débiles,faible
wealth,богатство,reichtum,riqueza,richesse
wealthy,богатый,wohlhabend,rico,riches
weapon,оружие,waffe,arma,arme
wear,носить,tragen,vestir,porter
weather,погода,wetter,clima,météo
wedding,свадьба,hochzeit,boda,mariage
week,неделю,woche,semana,la semaine
weekend,выходные,wochenende,fin de semana,fin de semaine
weekly,еженедельно,wöchentlich,semanal,hebdomadaire
weigh,весят,wiegen,pesar,peser
weight,вес,gewicht,peso,poids
welcome,добро пожаловать,herzlich willkommen,bienvenido,bienvenue
welfare,благосостояние,wohlergehen,bienestar,aide sociale
well,что ж,gut,bien,bien
west,запад,west,oeste,ouest
western,западный,western,occidental,occidental
wet,влажный,nass,mojado,humide
what,какие,was,qué,quelle
whatever,без разницы,was auch immer,lo que sea,peu importe
wheel,колесо,rad,rueda,roue
when,когда,wann,cuando,quand
whenever,когда-либо,wann immer,cuando,n'importe quand
where,где,woher,dónde,où
whereas,в то время как,wohingegen,mientras,tandis que
whether,будь то,ob,si,qu'il s'agisse
which,который,welche,cual,lequel
while,в то время как,während,mientras,tandis que
whisper,шепот,flüstern,susurro,chuchotement
white,белый,weiß,blanco,blanc
who,кто,wer,quien,qui
whole,все,ganze,todo,entier
whom,кого,wem,quién,qui
whose,чья,deren,cuyo,dont
why,зачем,warum,por qué,pourquoi
wide,широкий,breit,amplio,large
widely,широко,weit,extensamente,largement
widespread,широко распространен,weit verbreitet,extendido,répandu
wife,жена,ehefrau,esposa,femme
wild,дикий,wild,salvaje,sauvage
will,будем,werden,será,volonté
willing,готов,bereit,complaciente,prêt
win,выиграть,sieg,ganar,gagner
wind,ветер,wind,viento,vent
window,окно,fenster,ventana,fenêtre
wine,вино,wein,vino,du vin
wing,крыло,flügel,ala,aile
winner,победитель,gewinner,ganador,gagnant
winter,зима,winter,invierno,hiver
wipe,стереть,wischen,limpiar,essuyer
wire,провод,draht,cable,câble
wisdom,мудрость,weisheit,sabiduría,sagesse
wise,мудрый,weise,sabio,sage
wish,хочу,wunsch,deseo,souhait
with,с,mit,con,avec
withdraw,изымать,abheben,retirar,se désister
within,в,innerhalb,dentro,dans
without,без,ohne,sin,sans pour autant
witness,свидетель,zeuge,testigo,témoin
woman,женщина,frau,mujer,femme
wonder,задаваться вопросом,wunder,preguntarse,merveille
wonderful,замечательно,wunderbar,maravilloso,formidable
wood,дерево,holz,madera,bois
wooden,деревянный,hölzern,de madera,en bois
word,слово,wort,palabra,mot
work,работа,arbeit,trabajo,travail
worker,работник,arbeitnehmer,obrero,ouvrier
working,за работой,arbeiten,trabajando,travail
works,работает,arbeitet,trabajos,travaux
workshop,мастерская,werkstatt,taller,atelier
world,мир,welt,mundo,monde
worried,волновался,besorgt,preocupado,inquiet
worry,беспокоиться,sorge,preocupación,inquiéter
worth,стоимость,wert,valor,vaut
would,бы,würde,haría,aurait
wound,ранить,wunde,herida,blessure
wrap,заворачивать,wickeln,envolver,emballage
write,записывать,schreiben,escribir,écrire
writer,писатель,schriftsteller,escritor,écrivain
writing,письмо,schreiben,escritura,l'écriture
wrong,неправильно,falsch,incorrecto,faux
yard,двор,garten,yarda,cour
yeah,да,ja,sí,ouais
year,год,jahr,año,an
yell,орать,schrei,grito,hurler
yellow,желтый,gelb,amarillo,jaune
yes,да,ja,sí,oui
yesterday,вчера,gestern,ayer,hier
yet,все же,noch,todavía,encore
yield,уступать,ausbeute,rendimiento,rendement
you,вы,sie,tú,toi
young,молодой,jung,joven,jeune
your,ваш,ihre,tu,votre
yours,твой,deine,tuya,le tiens
yourself,сам,dich selber,tú mismo,toi même
youth,молодежь,jugend,juventud,jeunesse
zone,зона,zone,zona,zone
